,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
691,Más de 5 años,200,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,No,20.0,50.0,7
692,Más de 5 años,10,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,20.0,15.0,6
693,Entre 1 y 3 años,8,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajes de texto",Algo insatisfecho,No,No,7.0,1.0,2
694,Entre 1 y 3 años,70,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,Cámaras de seguridad ,"Visitas personales, Mensajes de texto","Visitas personales, Llamadas telefónicas",Muy satisfecho,No,Sí,6.0,12.0,8
695,Más de 5 años,500,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Cámaras de seguridad ,"Visitas personales, Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,No,No,100.0,39.9,5
696,Más de 5 años,100,2 veces a la semana,"Efectivo, Transferencias",No,No,Cámaras de seguridad ,Visitas personales,Visitas personales,Algo satisfecho,Sí,No,100.0,150.0,7
697,Entre 3 y 5 años,300,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,Cámaras de seguridad ,"Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,No,100.0,30.0,1
698,Entre 1 y 3 años,50,1 vez a la semana,"Efectivo, Tarjeta de crédito",Sí,Sí,Inventario,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,15.0,15.0,9
699,Entre 0 y 6 meses,500,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,5.0,12.0,8
700,Más de 5 años,90,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,25.0,37.0,8
701,Más de 5 años,10,1 vez al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,6.0,6.0,8
702,Más de 5 años,5,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,10.0,15.0,5
703,Más de 5 años,150,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,20.0,10.0,8
704,Entre 3 y 5 años,250,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,7.0,10.0,6
705,Más de 5 años,60,2 veces a la semana,"Efectivo, Transferencia ",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,Sí,3.0,8.0,5
706,Más de 5 años,60,2 veces a la semana,"Efectivo, Tarjeta de debito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajes de texto",Muy satisfecho,Sí,Sí,20.0,30.0,5
707,Entre 3 y 5 años,120,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Catálogo en linea,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Algo satisfecho,No,No,200.0,35.0,10
708,Entre 3 y 5 años,1200,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,20.0,13.0,4
709,Entre 1 y 3 años,10,1 vez al mes,"Efectivo, Tarjeta de debito",No,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,5.0,8.0,3
710,Más de 5 años,100,5 veces al año,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,20.0,20.0,8
711,Entre 6 meses y un año,500,1 vez a la semana,Efectivo,No,Sí,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta, Cámaras ","Visitas personales, Páginas web",Visitas personales,Algo satisfecho,No,No,30.0,60.0,5
712,Entre 1 y 3 años,15,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,15.0,7.0,5
713,Entre 0 y 6 meses,40,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,2.0,1.0,10
714,Entre 1 y 3 años,25,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,Sí,50.0,1.0,7
715,Entre 1 y 3 años,4572,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Cámaras de seguridad ,"Llamadas telefónicas, Mensajes de texto",Visitas personales,Muy satisfecho,No,No,45.0,30.0,8
716,Entre 1 y 3 años,10,3 veces al mes ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,En cámaraS DE SEGURIDAD ,5.0,17.0,2
717,Más de 5 años,500,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,Sí,Sí,25.0,20.0,1
718,Más de 5 años,5,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,Sí,30.0,60.0,6
719,Entre 1 y 3 años,750,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,15.0,15.0,8
720,Entre 3 y 5 años,200,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Terminal para el pago con tarjeta,Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,50.0,30.0,5
721,Entre 0 y 6 meses,20,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,20.0,3.0,7
722,Más de 5 años,50,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,100.0,130.0,8
723,Entre 1 y 3 años,50,1 vez al mes,"Efectivo, Transferencia ",No,Sí,"Terminal para el pago con tarjeta, Cámaras de seguridad ","Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,7.0,15.0,7
724,Entre 3 y 5 años,30,1 vez a la semana,"Efectivo, Transferencia ",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,No,No,16.0,24.0,5
725,Entre 3 y 5 años,30,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,90.0,1.0,10
726,Entre 3 y 5 años,6,1 vez a la semana,Efectivo,No,Sí,Cámaras de seguridad ,"Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,120.0,150.0,5
727,Entre 3 y 5 años,90,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,No,Sí,50.0,80.0,1
728,Entre 0 y 6 meses,25,2 veces a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,Sí,15.0,20.0,6
729,Entre 3 y 5 años,40,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Terminal para el pago con tarjeta,"Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,15.0,5.0,7
730,Más de 5 años,3,1 vez a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,Sí,No,20.0,3.0,3
731,Entre 0 y 6 meses,65,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Página de internet ",Llamadas telefónicas,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy insatisfecho,No,No,30.0,15.0,9
732,Entre 3 y 5 años,10,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Links de pago,"Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,8.0,8.0,6
733,Más de 5 años,6,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Transferencia",Sí,Sí,"Redes sociales (Instagram, X, entre otras)",Correo electrónico,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,6.0,6.0,5
734,Más de 5 años,20,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No aplica ,30.0,15.0,8
735,Entre 1 y 3 años,5,2 veces al mes,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,10.0,15.0,7
736,Más de 5 años,+1000,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia",Sí,Sí,Terminal para el pago con tarjeta,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,No,250.0,200.0,7
737,Entre 6 meses y un año,23,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia",No,Sí,Terminal para el pago con tarjeta,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,30.0,60.0,5
738,Más de 5 años,1,1 vez al mes,CoDi/Mercado Pago/Paypal/otras pasarelas de pago,No,No,Plataformas de pedidos en línea,Visitas personales,Llamadas telefónicas,Muy satisfecho,No,No,17.0,2.0,7
739,Entre 0 y 6 meses,10,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,6.0,7.0,1
740,Entre 1 y 3 años,2,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencias",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea",Ninguno,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No cuentan con proveedores ,Sin información ,45.0,25.0,8
741,Entre 3 y 5 años,1,2 veces al mes,Cheque,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Visitas personales,"Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,Sí,2.0,1.0,7
742,Entre 3 y 5 años,+30,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,20.0,15.0,4
